tf,date,open,high,low,close,volume
15m,2026-05-11 14:30:00+05:30,104.55,110.7,98.7,109.45,28665
15m,2026-05-11 14:45:00+05:30,109.45,117.5,106.2,116.25,56095
15m,2026-05-11 15:00:00+05:30,116.25,135.45,115.5,131.9,71825
15m,2026-05-11 15:15:00+05:30,131.9,132.4,124.55,129.4,55055
15m,2026-05-12 09:15:00+05:30,160.05,189.4,150.15,187.3,220675
15m,2026-05-12 09:30:00+05:30,187.3,196.25,176.7,184.95,177125
15m,2026-05-12 09:45:00+05:30,184.95,191.45,180.45,190.35,69225
15m,2026-05-12 10:00:00+05:30,190.35,194.55,175.9,177.0,122135
15m,2026-05-12 10:15:00+05:30,177.0,196.0,166.65,189.15,155870
15m,2026-05-12 10:30:00+05:30,189.9,199.4,175.7,182.05,156585
15m,2026-05-12 10:45:00+05:30,182.05,194.25,181.5,188.0,119015
15m,2026-05-12 11:00:00+05:30,188.0,205.0,187.3,198.45,293020
15m,2026-05-12 11:15:00+05:30,198.45,201.4,187.55,201.4,160485
15m,2026-05-12 11:30:00+05:30,201.25,205.1,190.05,191.15,188175
15m,2026-05-12 11:45:00+05:30,191.15,200.9,188.8,197.45,128960
15m,2026-05-12 12:00:00+05:30,197.45,222.0,196.8,218.2,390650
15m,2026-05-12 12:15:00+05:30,218.2,222.2,209.6,220.65,252785
15m,2026-05-12 12:30:00+05:30,220.65,252.45,220.4,238.0,549705
15m,2026-05-12 12:45:00+05:30,238.0,244.0,229.4,239.8,308490
15m,2026-05-12 13:00:00+05:30,239.8,247.95,231.15,232.3,249080
15m,2026-05-12 13:15:00+05:30,232.3,233.95,214.0,232.4,487305
15m,2026-05-12 13:30:00+05:30,232.4,247.85,222.5,243.0,292110
15m,2026-05-12 13:45:00+05:30,243.0,248.3,229.9,245.2,305110
15m,2026-05-12 14:00:00+05:30,246.0,268.85,245.55,263.4,359710
15m,2026-05-12 14:15:00+05:30,263.95,266.5,246.35,258.9,157430
15m,2026-05-12 14:30:00+05:30,258.65,274.95,257.1,263.75,156195
15m,2026-05-12 14:45:00+05:30,263.75,292.95,258.05,285.0,201890
15m,2026-05-12 15:00:00+05:30,285.0,319.35,285.0,309.4,261495
15m,2026-05-12 15:15:00+05:30,309.4,309.4,274.7,281.55,237575
15m,2026-05-13 09:15:00+05:30,287.2,306.9,231.15,306.9,1697605
15m,2026-05-13 09:30:00+05:30,305.2,373.7,293.15,345.0,908765
15m,2026-05-13 09:45:00+05:30,345.0,363.6,301.0,312.6,416455
15m,2026-05-13 10:00:00+05:30,312.6,325.95,283.75,295.4,445315
15m,2026-05-13 10:15:00+05:30,295.4,298.15,246.95,260.0,699530
15m,2026-05-13 10:30:00+05:30,260.0,276.0,239.0,254.9,1019460
15m,2026-05-13 10:45:00+05:30,254.9,308.3,245.1,307.5,840645
15m,2026-05-13 11:00:00+05:30,307.5,310.35,280.5,282.9,483015
15m,2026-05-13 11:15:00+05:30,282.9,295.6,276.05,284.4,348920
15m,2026-05-13 11:30:00+05:30,284.4,287.9,229.4,231.0,925015
15m,2026-05-13 11:45:00+05:30,231.0,252.95,225.75,252.8,1264835
15m,2026-05-13 12:00:00+05:30,252.8,252.8,229.8,231.15,595725
15m,2026-05-13 12:15:00+05:30,230.65,246.6,223.8,237.4,1179490
15m,2026-05-13 12:30:00+05:30,237.4,283.65,235.85,263.5,1496300
15m,2026-05-13 12:45:00+05:30,263.7,265.95,189.3,190.75,2168790
15m,2026-05-13 13:00:00+05:30,190.75,219.15,189.05,213.05,4094610
15m,2026-05-13 13:15:00+05:30,213.05,241.3,212.35,238.0,3051880
15m,2026-05-13 13:30:00+05:30,238.0,240.4,209.45,222.0,2168725
15m,2026-05-13 13:45:00+05:30,222.0,250.6,212.3,236.8,2661360
15m,2026-05-13 14:00:00+05:30,236.8,247.2,221.0,222.0,1752140
15m,2026-05-13 14:15:00+05:30,222.0,258.75,219.35,239.8,2727140
15m,2026-05-13 14:30:00+05:30,239.85,255.3,233.4,253.0,1295125
15m,2026-05-13 14:45:00+05:30,253.7,264.4,239.5,245.7,1325675
15m,2026-05-13 15:00:00+05:30,245.7,280.0,244.95,256.6,1969045
15m,2026-05-13 15:15:00+05:30,256.6,273.0,249.8,253.6,920595
1h,2026-04-20 09:15:00+05:30,205.35,205.35,188.7,191.65,455
1h,2026-04-20 10:15:00+05:30,191.65,191.65,185.9,185.9,455
1h,2026-04-20 11:15:00+05:30,185.9,185.9,180.0,180.0,65
1h,2026-04-20 12:15:00+05:30,180.0,180.0,180.0,180.0,0
1h,2026-04-20 13:15:00+05:30,180.0,180.0,180.0,180.0,0
1h,2026-04-20 14:15:00+05:30,180.0,180.0,180.0,180.0,0
1h,2026-04-20 15:15:00+05:30,180.0,220.75,180.0,220.4,130
1h,2026-04-21 13:15:00+05:30,148.85,152.9,148.85,152.9,195
1h,2026-04-21 14:15:00+05:30,152.9,152.9,152.9,152.9,0
1h,2026-04-21 15:15:00+05:30,152.9,152.9,152.9,152.9,0
1h,2026-04-23 14:15:00+05:30,227.9,227.95,227.9,227.95,65
1h,2026-04-23 15:15:00+05:30,227.95,227.95,227.95,227.95,0
1h,2026-04-24 09:15:00+05:30,232.45,232.45,232.45,232.45,0
1h,2026-04-24 10:15:00+05:30,232.45,232.45,232.45,232.45,0
1h,2026-04-24 11:15:00+05:30,232.45,232.45,232.45,232.45,0
1h,2026-04-24 12:15:00+05:30,232.45,232.45,232.45,232.45,0
1h,2026-04-24 13:15:00+05:30,232.45,232.45,232.45,232.45,0
1h,2026-04-24 14:15:00+05:30,232.45,292.7,232.45,292.7,65
1h,2026-04-24 15:15:00+05:30,292.7,292.7,292.7,292.7,0
